hydrocal=Sample name,opc,T,h,d2HP,d18OP,d2HL,d18OL,d2HA,d18OA,d2HR,d18OR,LEL,comment,,     E/I  f average,EkH,EkO,EplusH,EplusO,EH,EO,CkH,CkO,aplusH,aplusO,dstarH,dstarO,mH,mO,x,EI_H,EI_O,f_H,f_O,,,
水库水前期L01,3,31.2,0.72,-40.52,-6.87,-33.98,-4.45,-104.4001,-15.3323,-39.6,-6.62,2.91,test for known dR and LEL,,0.1227,3.5,3.976,72.3539,8.848,70.972,12.7464,12.5,14.2,1.0724,1.0088,-6.4652,2.4137,2.2893,2.4905,1,0.1038,0.1416,0.0889,0.1142,,0.1227,
水库水前期L02,3,31.2,0.72,-40.52,-6.87,-33.25,-4.5,-104.4001,-15.3323,-39.6,-6.62,2.91,test for known dR and LEL,,0.1281,3.5,3.976,72.3539,8.848,70.972,12.7464,12.5,14.2,1.0724,1.0088,-6.4652,2.4137,2.2893,2.4905,1,0.1186,0.1376,0.0996,0.1116,,0.1281,
水库水前期L03,3,31.2,0.72,-40.52,-6.87,-32.75,-4.31,-104.4001,-15.3323,-39.6,-6.62,2.91,test for known dR and LEL,,0.141,3.5,3.976,72.3539,8.848,70.972,12.7464,12.5,14.2,1.0724,1.0088,-6.4652,2.4137,2.2893,2.4905,1,0.1291,0.1529,0.107,0.1215,,0.141,
水库水中期L01,3,35.3,0.44,-40.52,-6.87,-31.86,-3.64,-101.1165,-15.0298,-39.6,-6.62,2.91,test for known dR and LEL,,0.1449,7,7.952,68.4366,8.5381,71.053,16.4179,12.5,14.2,1.0684,1.0085,71.9934,23.1472,0.6507,0.7458,1,0.1281,0.1617,0.1158,0.1416,,0.1449,
水库水中期L02,3,35.3,0.44,-40.52,-6.87,-31.85,-3.9,-101.1165,-15.0298,-39.6,-6.62,2.91,test for known dR and LEL,,0.13775,7,7.952,68.4366,8.5381,71.053,16.4179,12.5,14.2,1.0684,1.0085,71.9934,23.1472,0.6507,0.7458,1,0.1283,0.1472,0.1159,0.1304,,0.13775,
水库水中期L03,3,35.3,0.44,-40.52,-6.87,-31.8,-3.92,-101.1165,-15.0298,-39.6,-6.62,2.91,test for known dR and LEL,,0.1376,7,7.952,68.4366,8.5381,71.053,16.4179,12.5,14.2,1.0684,1.0085,71.9934,23.1472,0.6507,0.7458,1,0.1291,0.1461,0.1166,0.1295,,0.1376,
水库水后期L01,3,32.5,0.51,-40.52,-6.87,-30.29,-3.24,-103.3403,-15.2348,-39.6,-6.62,2.91,test for known dR and LEL,,0.1721,6.125,6.958,71.0863,8.7481,72.4934,15.6302,12.5,14.2,1.0711,1.0087,45.2334,15.9,0.8818,0.9948,1,0.1536,0.1906,0.1342,0.1602,,0.1721,
水库水后期L02,3,32.5,0.51,-40.52,-6.87,-29.77,-3.33,-103.3403,-15.2348,-39.6,-6.62,2.91,test for known dR and LEL,,0.1738,6.125,6.958,71.0863,8.7481,72.4934,15.6302,12.5,14.2,1.0711,1.0087,45.2334,15.9,0.8818,0.9948,1,0.1625,0.1851,0.1409,0.1562,,0.1738,
水库水后期L03,3,32.5,0.51,-40.52,-6.87,-29.56,-3.24,-103.3403,-15.2348,-39.6,-6.62,2.91,test for known dR and LEL,,0.1784,6.125,6.958,71.0863,8.7481,72.4934,15.6302,12.5,14.2,1.0711,1.0087,45.2334,15.9,0.8818,0.9948,1,0.1662,0.1906,0.1436,0.1602,,0.1784,
湖水7.19L04-7,3,33.1,0.6,-40.11,-6.82,-36.16,-5.5,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.0601,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0566,0.0636,0.0531,0.0591,,0.0601,
湖水7.19L08-11,3,33.1,0.6,-40.11,-6.82,-36.12,-5.6,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.0578,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0572,0.0584,0.0536,0.0545,,0.0578,
湖水7.19L12-13,3,33.1,0.6,-40.11,-6.82,-36.38,-5.49,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.0587,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0532,0.0642,0.0501,0.0595,,0.0587,
湖水10.7L04-7,3,17.8,0.889,-40.11,-6.82,-38.11,-5.7,-116.4373,-16.4327,-39.6,-6.62,2.52,test for known dR and LEL,,0.0471,1.3875,1.5762,86.963,9.9767,81.393,11.4543,12.5,14.2,1.087,1.01,-27.3892,-3.5945,7.1859,7.7951,1,0.026,0.0682,0.0235,0.0532,,0.0471,
湖水10.7L08-11,3,17.8,0.889,-40.11,-6.82,-37.19,-5.39,-116.4373,-16.4327,-39.6,-6.62,2.52,test for known dR and LEL,,0.07185,1.3875,1.5762,86.963,9.9767,81.393,11.4543,12.5,14.2,1.087,1.01,-27.3892,-3.5945,7.1859,7.7951,1,0.0415,0.1022,0.0356,0.0724,,0.07185,
湖水10.7L12-13,3,17.8,0.889,-40.11,-6.82,-37.23,-5.41,-116.4373,-16.4327,-39.6,-6.62,2.52,test for known dR and LEL,,0.07015,1.3875,1.5762,86.963,9.9767,81.393,11.4543,12.5,14.2,1.087,1.01,-27.3892,-3.5945,7.1859,7.7951,1,0.0407,0.0996,0.0351,0.0711,,0.07015,
C01,3,33.1,0.6,-40.11,-6.82,-35.62,-5.36,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.068,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0649,0.0711,0.0604,0.0654,,,
C02,3,33.1,0.6,-40.11,-6.82,-37.52,-5.87,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.04045,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0362,0.0447,0.0347,0.0423,,,
C03,3,33.1,0.6,-40.11,-6.82,-35.79,-5.39,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.0659,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0623,0.0695,0.0581,0.0641,,,
C04,3,33.1,0.6,-40.11,-6.82,-35.7,-5.39,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.0666,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0637,0.0695,0.0593,0.0641,,,
D01,3,33.1,0.6,-40.11,-6.82,-35.42,-5.33,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.0704,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0681,0.0727,0.0632,0.0668,,,
D02,3,33.1,0.6,-40.11,-6.82,-36.44,-5.7,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.0528,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0523,0.0533,0.0493,0.05,,,
D03,3,33.1,0.6,-40.11,-6.82,-36.46,-5.75,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.05135,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.052,0.0507,0.049,0.0478,,,
D04,3,33.1,0.6,-40.11,-6.82,-36.15,-5.62,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.05705,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0567,0.0574,0.0532,0.0536,,,
L01,3,33.1,0.6,-40.11,-6.82,-37,-5.76,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.047,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0438,0.0502,0.0417,0.0473,,,
L02,3,33.1,0.6,-40.11,-6.82,-35.75,-5.23,-102.857,-15.1903,-39.6,-6.62,2.52,test for known dR and LEL,,0.0705,5,5.68,70.5094,8.7025,70.8653,14.3074,12.5,14.2,1.0705,1.0087,17.2944,8.8668,1.3065,1.4437,1,0.0629,0.0781,0.0587,0.0714,,,
C01,3,17.8,0.889,-40.11,-6.82,-38.42,-5.77,-116.4373,-16.4327,-39.6,-6.62,2.52,test for known dR and LEL,,0.0416,1.3875,1.5762,86.963,9.9767,81.393,11.4543,12.5,14.2,1.087,1.01,-27.3892,-3.5945,7.1859,7.7951,1,0.0213,0.0619,0.0196,0.0493,,,
C02,3,17.8,0.889,-40.11,-6.82,-38.08,-5.65,-116.4373,-16.4327,-39.6,-6.62,2.52,test for known dR and LEL,,0.0497,1.3875,1.5762,86.963,9.9767,81.393,11.4543,12.5,14.2,1.087,1.01,-27.3892,-3.5945,7.1859,7.7951,1,0.0264,0.073,0.0239,0.0562,,,
C03,3,17.8,0.889,-40.11,-6.82,-37.91,-5.64,-116.4373,-16.4327,-39.6,-6.62,2.52,test for known dR and LEL,,0.05155,1.3875,1.5762,86.963,9.9767,81.393,11.4543,12.5,14.2,1.087,1.01,-27.3892,-3.5945,7.1859,7.7951,1,0.0291,0.074,0.0261,0.0568,,,
