hydrocal=Sample name,opc,T,h,d2HP,d18OP,d2HL,d18OL,d2HA,d18OA,d2HR,d18OR,CkH,CkO,LEL,comment,     ,EkH,EkO,EplusH,EplusO,EH,EO,aplusH,aplusO,dstarH,dstarO,mH,mO,x,    ,EI_H,EI_O,f_H,f_O
S01 2024.7.15,3,31.2,0.72,-79.83,-11.67,-38.5,-6.17,-92.2934,-13.4905,-46.55,-7.411,12.5,14.2,4.5741,test for known dR and LEL,,3.5,3.976,72.3539,8.848,70.972,12.7464,1.0724,1.0088,6.9655,4.2887,2.2893,2.4905,0.6965,,0.3971,0.2111,0.2461,0.1561
2024.7.24,3,35,0.48,-79.83,-11.67,-43.99,-6.84,-84.3095,-12.4839,-46.55,-7.411,12.5,14.2,4.5741,test for known dR and LEL,,6.5,7.384,68.7153,8.5603,70.7971,15.8716,1.0687,1.0086,74.1163,21.2859,0.7772,0.8801,0.6001,,0.3904,0.1951,0.2889,0.1648
2024.8.3,3,33.3,0.55,-79.83,-11.67,-45.16,-7.06,-85.1546,-12.5588,-46.55,-7.411,12.5,14.2,4.5741,test for known dR and LEL,,5.625,6.39,70.3182,8.6874,71.3234,15.0026,1.0703,1.0087,51.1585,15.1313,1.0506,1.1722,0.6001,,0.3426,0.1772,0.2537,0.1487
2024.8.20,3,33.1,0.52,-79.83,-11.67,-47.6,-7.39,-85.2553,-12.5677,-46.55,-7.411,12.5,14.2,4.5741,test for known dR and LEL,,6,6.816,70.5094,8.7025,71.8653,15.4434,1.0705,1.0087,61.438,17.6555,0.9221,1.0364,0.6001,,0.3206,0.1649,0.2449,0.1412
2024.8.31,3,35.3,0.44,-79.83,-11.67,-49.47,-7.65,-84.1623,-12.4708,-46.55,-7.411,12.5,14.2,4.5741,test for known dR and LEL,,7,7.952,68.4366,8.5381,71.053,16.4179,1.0684,1.0085,92.2126,25.8054,0.6507,0.7458,0.6001,,0.3293,0.1611,0.258,0.1411
2024.9.9,3,33.4,0.56,-79.83,-11.67,-50.02,-7.74,-85.1044,-12.5544,-46.55,-7.411,12.5,14.2,4.5741,test for known dR and LEL,,5.5,6.248,70.2228,8.6798,71.1151,14.8531,1.0702,1.0087,47.98,14.3497,1.0974,1.2216,0.6001,,0.2772,0.1456,0.215,0.1254
2024.9.16,3,32.6,0.46,-79.83,-11.67,-49.63,-7.67,-85.5083,-12.5901,-46.55,-7.411,12.5,14.2,4.5741,test for known dR and LEL,,6.75,7.668,70.9898,8.7405,73.0343,16.3327,1.071,1.0087,87.0892,23.7594,0.7078,0.8101,0.6001,,0.3121,0.1571,0.2457,0.1375
2024.9.24,3,29.8,0.57,-79.83,-11.67,-49.61,-7.66,-86.9569,-12.7179,-46.55,-7.411,12.5,14.2,4.5741,test for known dR and LEL,,5.375,6.106,73.7463,8.9573,74.0563,14.9838,1.0737,1.009,49.3824,13.9358,1.1391,1.2727,0.6001,,0.268,0.1459,0.2085,0.1253
2024.9.29,3,32.5,0.51,-79.83,-11.67,-50.34,-7.66,-85.5591,-12.5946,-46.55,-7.411,12.5,14.2,4.5741,test for known dR and LEL,,6.125,6.958,71.0863,8.7481,72.4934,15.6302,1.0711,1.0087,65.9609,18.6237,0.8818,0.9948,0.6001,,0.2875,0.1534,0.2261,0.133
2024.10.13,3,19.9,0.861,-79.83,-11.67,-50.71,-7.84,-102.1863,-14.4867,-46.55,-7.411,12.5,14.2,5.5508,test for known dR and LEL,,1.7375,1.9738,84.4719,9.7869,79.6297,11.6659,1.0845,1.0098,-10.6897,-0.9503,5.552,6.0248,0.7336,,0.1311,0.0923,0.0938,0.0707
