row_index,sample_name,water_type,T,h,LEL,EI_H,EI_O,EI_average,f_H,f_O,f_average,teaching_use
1,水库水前期L01,reservoir,31.2,0.72,2.91,0.1038,0.1416,0.1227,0.0889,0.1142,0.1016,"Compare water type, date, LEL, and evaporation strength."
2,水库水前期L02,reservoir,31.2,0.72,2.91,0.1186,0.1376,0.1281,0.0996,0.1116,0.1056,"Compare water type, date, LEL, and evaporation strength."
3,水库水前期L03,reservoir,31.2,0.72,2.91,0.1291,0.1529,0.141,0.107,0.1215,0.1143,"Compare water type, date, LEL, and evaporation strength."
4,水库水中期L01,reservoir,35.3,0.44,2.91,0.1281,0.1617,0.1449,0.1158,0.1416,0.1287,"Compare water type, date, LEL, and evaporation strength."
5,水库水中期L02,reservoir,35.3,0.44,2.91,0.1283,0.1472,0.1378,0.1159,0.1304,0.1232,"Compare water type, date, LEL, and evaporation strength."
6,水库水中期L03,reservoir,35.3,0.44,2.91,0.1291,0.1461,0.1376,0.1166,0.1295,0.1231,"Compare water type, date, LEL, and evaporation strength."
7,水库水后期L01,reservoir,32.5,0.51,2.91,0.1536,0.1906,0.1721,0.1342,0.1602,0.1472,"Compare water type, date, LEL, and evaporation strength."
8,水库水后期L02,reservoir,32.5,0.51,2.91,0.1625,0.1851,0.1738,0.1409,0.1562,0.1486,"Compare water type, date, LEL, and evaporation strength."
9,水库水后期L03,reservoir,32.5,0.51,2.91,0.1662,0.1906,0.1784,0.1436,0.1602,0.1519,"Compare water type, date, LEL, and evaporation strength."
10,湖水7.19L04-7,lake,33.1,0.6,2.52,0.0566,0.0636,0.0601,0.0531,0.0591,0.0561,"Compare water type, date, LEL, and evaporation strength."
11,湖水7.19L08-11,lake,33.1,0.6,2.52,0.0572,0.0584,0.0578,0.0536,0.0545,0.0541,"Compare water type, date, LEL, and evaporation strength."
12,湖水7.19L12-13,lake,33.1,0.6,2.52,0.0532,0.0642,0.0587,0.0501,0.0595,0.0548,"Compare water type, date, LEL, and evaporation strength."
13,湖水10.7L04-7,lake,17.8,0.889,2.52,0.026,0.0682,0.0471,0.0235,0.0532,0.0384,"Compare water type, date, LEL, and evaporation strength."
14,湖水10.7L08-11,lake,17.8,0.889,2.52,0.0415,0.1022,0.0719,0.0356,0.0724,0.054,"Compare water type, date, LEL, and evaporation strength."
15,湖水10.7L12-13,lake,17.8,0.889,2.52,0.0407,0.0996,0.0702,0.0351,0.0711,0.0531,"Compare water type, date, LEL, and evaporation strength."
16,C01,other,33.1,0.6,2.52,0.0649,0.0711,0.068,0.0604,0.0654,0.0629,"Compare water type, date, LEL, and evaporation strength."
17,C02,other,33.1,0.6,2.52,0.0362,0.0447,0.0405,0.0347,0.0423,0.0385,"Compare water type, date, LEL, and evaporation strength."
18,C03,other,33.1,0.6,2.52,0.0623,0.0695,0.0659,0.0581,0.0641,0.0611,"Compare water type, date, LEL, and evaporation strength."
19,C04,other,33.1,0.6,2.52,0.0637,0.0695,0.0666,0.0593,0.0641,0.0617,"Compare water type, date, LEL, and evaporation strength."
20,D01,other,33.1,0.6,2.52,0.0681,0.0727,0.0704,0.0632,0.0668,0.065,"Compare water type, date, LEL, and evaporation strength."
21,D02,other,33.1,0.6,2.52,0.0523,0.0533,0.0528,0.0493,0.05,0.0497,"Compare water type, date, LEL, and evaporation strength."
22,D03,other,33.1,0.6,2.52,0.052,0.0507,0.0514,0.049,0.0478,0.0484,"Compare water type, date, LEL, and evaporation strength."
23,D04,other,33.1,0.6,2.52,0.0567,0.0574,0.0571,0.0532,0.0536,0.0534,"Compare water type, date, LEL, and evaporation strength."
