row_index,sample_name,max_abs_diff_core,status,d2HA_calc,d2HA_ref,d2HA_diff,d18OA_calc,d18OA_ref,d18OA_diff,x_calc,x_ref,x_diff,EI_H_calc,EI_H_ref,EI_H_diff,EI_O_calc,EI_O_ref,EI_O_diff,f_H_calc,f_H_ref,f_H_diff,f_O_calc,f_O_ref,f_O_diff
1,S01 2024.7.15,0,pass,-92.2934,-92.2934,0,-13.4905,-13.4905,0,0.6965,0.6965,0,0.3971,0.3971,0,0.2111,0.2111,0,0.2461,0.2461,0,0.1561,0.1561,0
2,2024.7.24,0,pass,-84.3095,-84.3095,0,-12.4839,-12.4839,0,0.6001,0.6001,0,0.3904,0.3904,0,0.1951,0.1951,0,0.2889,0.2889,0,0.1648,0.1648,0
3,2024.8.3,0,pass,-85.1546,-85.1546,0,-12.5588,-12.5588,0,0.6001,0.6001,0,0.3426,0.3426,0,0.1772,0.1772,0,0.2537,0.2537,0,0.1487,0.1487,0
4,2024.8.20,0,pass,-85.2553,-85.2553,0,-12.5677,-12.5677,0,0.6001,0.6001,0,0.3206,0.3206,0,0.1649,0.1649,0,0.2449,0.2449,0,0.1412,0.1412,0
5,2024.8.31,0,pass,-84.1623,-84.1623,0,-12.4708,-12.4708,0,0.6001,0.6001,0,0.3293,0.3293,0,0.1611,0.1611,0,0.258,0.258,0,0.1411,0.1411,0
6,2024.9.9,0,pass,-85.1044,-85.1044,0,-12.5544,-12.5544,0,0.6001,0.6001,0,0.2772,0.2772,0,0.1456,0.1456,0,0.215,0.215,0,0.1254,0.1254,0
7,2024.9.16,0,pass,-85.5083,-85.5083,0,-12.5901,-12.5901,0,0.6001,0.6001,0,0.3121,0.3121,0,0.1571,0.1571,0,0.2457,0.2457,0,0.1375,0.1375,0
8,2024.9.24,0,pass,-86.9569,-86.9569,0,-12.7179,-12.7179,0,0.6001,0.6001,0,0.268,0.268,0,0.1459,0.1459,0,0.2085,0.2085,0,0.1253,0.1253,0
9,2024.9.29,0,pass,-85.5591,-85.5591,0,-12.5946,-12.5946,0,0.6001,0.6001,0,0.2875,0.2875,0,0.1534,0.1534,0,0.2261,0.2261,0,0.133,0.133,0
10,2024.10.13,0,pass,-102.1863,-102.1863,0,-14.4867,-14.4867,0,0.7336,0.7336,0,0.1311,0.1311,0,0.0923,0.0923,0,0.0938,0.0938,0,0.0707,0.0707,0
